Building,Building Number,Abbreviation,Precint,City,Floor Plan,FCI,LEED Level,LEED Certification Year,Gross SF,Year Built,Age,Resident or Non-resident,Ownership,Estimated Replacement Cost,Last Renovation Cost,Last Renovation Year,Building Condition,Air Cond,Accessibel Area,Assignable Area,Building Cost,Number of Floors,Last Update,Address
King Village Craven Hall M,127M,KVM,Central,Raleigh,127m.pdf,,,,7958,1959,58,2,1,2434264,,,3,6,2752,5539,83600,2,14,3810 Jackson St.
King Village Currituck Hall B,127B,KVB,Central,Raleigh,127b.pdf,,,,9821,1959,58,2,1,1578192,,,3,6,3196,6427,105600,2,14,2921 Ligon St.
King Village Edgecombe Hall Q,127Q,KVQ,Central,Raleigh,127q.pdf,,,,46264,1959,58,2,1,8297059,,,3,6,6065,23393,286000,3,14,3930 Jackson St.
King Village Granville Hall G,127G,KVG,Central,Raleigh,127g.pdf,,,,9821,1959,58,2,1,1578192,,,3,6,3196,6427,105600,2,14,3011 Ligon St.
King Village Hyde Hall C,127C,KVC,Central,Raleigh,127c.pdf,,,,13016,1959,58,2,1,2108182,,,3,6,4262,8559,132000,2,14,2931 Ligon St.
King Village Johnston Hall H,127H,KVH,Central,Raleigh,127h.pdf,,,,9821,1959,58,2,1,3039050,,,3,6,3196,6427,105600,2,14,3950 Jackson St.
King Village Northhampton Hall F,127F,KVF,Central,Raleigh,127f.pdf,,,,9821,1959,58,2,1,1578192,,,3,6,3196,6427,105600,2,14,3001 Ligon St.
King Village Onslow Hall E,127E,KVE,Central,Raleigh,127e.pdf,,,,9821,1959,58,2,1,1578192,,,3,6,3196,6427,105600,2,14,2951 Ligon St.
King Village Tyrrell Hall D,127D,KVD,Central,Raleigh,127d.pdf,,,,9821,1959,58,2,1,1578192,,,3,6,3196,6427,105600,2,14,2941 Ligon St.
King Vlg New Hanover Hall J,127J,KVJ,Central,Raleigh,127j.pdf,,,,9821,1959,58,2,1,3039050,,,3,6,3196,6427,105600,2,14,3910 Jackson St.
King Vlg Pasquotank Hall O,127O,KVO,Central,Raleigh,127o.pdf,,,,9821,1959,58,2,1,3039050,,,3,6,3196,6427,105600,2,14,740 Gorman St.
King Vlg Perquimans Hall N,127N,KVN,Central,Raleigh,127n.pdf,,,,15713,1959,58,2,1,4995532,,,3,6,6192,11043,167200,2,14,720 Gorman St.
Lab/Machine Shed(Sandhills),870D,D11,Outlying,Jackson Springs,,,,,4100,1951,66,1,1,297554,,,1,3,0,3790,8000,1,14,2148 Windblow Rd.
LAKE PUMP HOUSE,462,,,,,,,,59,,,,,,,,,,,,,,,
Lake Wheeler Activity Center,830M,LAC,Lake Wheeler Site,Raleigh,830m.pdf,,,,2942,1970,47,1,1,804402,,,1,6,0,2280,11000,2,14,2900 Mid Pines Rd.
Lake Wheeler Activity Picnic Shelter,830N,LPS,Lake Wheeler Site,Raleigh,830n.pdf,,,,,,,,,,,,,,,,,,,2900 Mid Pines Rd.
Lakeview Hall-Wolf Ridge-Building 6,780F,WR6,Centennial,Raleigh,780f.pdf,,,,67161,2013,4,2,1,16248683,,,1,6,10993,41794,14000000,6,14,1930 Entrepreneur Dr.
Landscape Equip,124C,LES,Central,Raleigh,124c.pdf,0.03,,,3468,1977,40,1,1,356557,,,1,1,2943,3436,20000,1,14,610 Motor Pool St.
Landscape Hazardous Materials,124F,HM1,Central,Raleigh,124f.pdf,0.34,,,120,1991,26,1,1,12338,,,1,1,0,112,2500,1,14,610 Motor Pool St.
Landscape Hazardous Materials,124G,HM2,Central,Raleigh,124g.pdf,0.04,,,560,1991,26,1,1,57575,,,1,1,0,466,2717,1,14,610 Motor Pool St.
Landscape Services Stor Unit,791,LND,Centennial,Raleigh,,0.24,,,96,1995,22,1,1,9869,,,1,1,0,86,1200,1,14,Capability Dr.
Landscape Storage,124E,LAS,Central,Raleigh,124e.pdf,0.03,,,4182,1991,26,1,1,429966,,,1,1,0,3772,74456,1,14,610 Motor Pool St.
Language And Computer Labs,30,LAU,North,Raleigh,30.pdf,0.2,,,14084,1941,76,1,1,5121647,2287623,98,2,2,8657,8657,60000,2,14,2341 Katharine Stinson Dr.
Large Picnic Sheler Site 1 (Anita Alta 4-H Outpost Camp),827M,AAM,Outlying,Lenoir,,,,,800,1980,37,1,1,48383,,,3,1,0,760,12600,1,14,Anita Alta 4-H Outpost Camp
Large Picnic Sheler Site 2 (Anita Alta 4-H Outpost Camp),827L,AAL,Outlying,Lenoir,,,,,800,1980,37,1,1,48383,,,3,1,0,760,12600,1,14,Anita Alta 4-H Outpost Camp
Lbttc Pump House-UFL 2130-Lake Wheeler,809J,LBJ,Lake Wheeler Site,Raleigh,,,,,170,1999,18,1,1,23827,,,1,1,0,0,12000,1,14,3950 Chi Rd.
Leazar Hall,18,LEZ,North,Raleigh,18.pdf,0.01,,,64202,1912,105,1,1,25072534,730142,6,1,6,41409,41409,431000,4,14,2230 Katharine Stinson Dr.
Lee Residence Hall,87,LEE,Central,Raleigh,87.pdf,,,,187767,1964,53,2,2,34993647,380286,99,4,6,20333,109589,2363000,10,14,2530 Sullivan Dr.
Lentz Educational Building Millstone 4-H Camp,865V,MVL,Outlying,Ellerbe,,,,,1380,1996,21,1,5,191958,,,1,6,1242,1242,,1,14,1040 Mallard Dr.
Leonard Bldg Storage CVM - Structure Moved To Reedy Creek,329,VTU,Reedy Creek,Raleigh,329.pdf,,,,420,1992,25,1,1,25400,,,1,6,0,384,7240,1,14,Reedy Creek Rd.
Leonard Storage Bldg #10939,329C,LSC,Outlying,Raleigh,329c.pdf,,,,,,,,,,,,,,,,,,,7624 S. NC Hwy 41
Leonard Storage Bldg #3675 - Structure Moved To Lake Wheeler,329B,LSB,Lake Wheeler Site,Raleigh,329b.pdf,,,,420,1993,24,1,1,12702,,,1,1,0,391,7675,1,14,
Leonard Storage Bldg 1,331A,LS1,West,Raleigh,331a.pdf,,,,420,1999,18,1,1,12702,,,1,6,0,391,10044,1,14,3220 Ligon Street
Leonard Storage Bldg 2,331B,LS2,Lake Wheeler Site,Raleigh,331b.pdf,,,,420,1999,18,1,1,12702,,,2,6,391,391,10044,1,14,
Leonard Storage Bldg 3674 - Structure Moved To Reidsville,329A,LSA,Outlying,Reidsville,329a.pdf,,,,,,,,,,,,,,,,,,,
Leonard Storage Bldg At Reedy Creek,331C,LS3,Reedy Creek,Raleigh,331c.pdf,,,,420,1999,18,1,1,12702,,,1,6,0,391,10044,1,14,Reedy Creek Rd.
Leonard Storage Building At 3220 Ligon St,328,VTV,Central,Raleigh,,,,,420,1992,25,1,1,25400,,,1,6,0,384,7240,1,14,3220 Ligon St.
Leonard Storage Building At Hurdle Mills,329D,LSD,Outlying,Raleigh,329d.pdf,,,,420,1993,24,1,1,12702,,,1,1,391,391,7675,1,14,4904 Walnut Grove Church Rd.
Libraries Satellite Shelving,123,LSF,Central,Raleigh,123.pdf,,,,19803,1970,47,1,1,4670865,,,2,4,16964,17151,301000,1,14,2731 Sullivan Dr.
Log Barn - Swannanoa 4-H Camp,801Y,SWY,Outlying,Swannanoa,,,,,538,1936,81,1,1,55314,,,3,1,0,457,32218,1,14,170 Woodland Dr.
Log Cabin - Swannanoa 4-H Camp,801W,SWW,Outlying,Swannanoa,,,,,394,1936,81,1,1,79110,,,3,1,0,335,20340,1,14,170 Woodland Dr.
Log Implement Bldg(Upiedmont),860F,Z36,Outlying,Reidsville,,,,,9114,1925,92,1,1,937044,,,5,1,0,6836,20000,1,14,1944 Wentworth Rd.
Lot 86 Groundwater Treatment Bldg,135H,GTB,West,Raleigh,135h.pdf,-,,,1134,2006,11,1,1,963055,,,1,1,0,1000,796194,1,14,4164 Westchase Blvd.
Low House Millstone 4-H Camp,865X,LOW,Outlying,Ellerbe,865x.pdf,,,,56,1994,23,1,1,7789,,,1,1,0,0,6667,1,14,1040 Mallard Dr.
Machine Storage Bldg Sandhills,870H,H10,Outlying,Jackson Springs,,,,,2688,1968,49,1,1,276363,,,1,1,0,2016,6500,1,14,2148 Windblow Rd.
Machinery Stor Shed(Upiedmont),861B,Z57,Outlying,Reidsville,,,,,3584,1987,30,1,1,368484,,,1,1,0,2688,20000,1,14,1944 Wentworth Rd.
Mackenzie Hall-Wolf Village Apartments Bldg F,222F,WVF,Central,Raleigh,222f.pdf,,,,67344,2005,12,2,1,12147399,,,1,6,36588,40297,7653840,6,14,2710 Wolf Village Way
MAE Lab (At West Research Annex),163F,MAE,West,Raleigh,163f.pdf,0.13,,,11171,2005,12,1,1,4391442,,,1,6,8174,8291,1341878,1,14,3217 Ligon St.
Magnolia Cottage - Avent Ferry C,271C,AFC,South,Raleigh,271c.pdf,,,,1724,1981,36,1,2,355978,,,2,6,1410,1410,35446,1,14,2106 Avent Ferry Rd.
Main Distribution Frame,65,MDF,Central,Raleigh,65.pdf,0.22,,,1547,1992,25,1,1,506595,530365,14,1,6,625,1276,70000,1,14,401 Dan Allen Dr.
Maintenance Facility - Lonnie Poole Golf Course,787C,GC3,Centennial,Raleigh,787c.pdf,,,,11934,2008,9,1,1,482620,,,1,1,10570,10570,399000,1,14,1525 Main Campus Dr.
Maintenance Shed At Betsy Jeff Penn 4-H Camp,816Z,BJZ,Outlying,Reidsville,,,,,640,1964,53,1,1,44849,,,3,1,0,540,28800,1,14,804 Cedar Lane
Maintenance Shop - Swannanoa 4-H Camp,801R,SWR,Outlying,Swannanoa,,,,,384,1936,81,1,1,39481,,,3,1,0,346,21120,1,14,170 Woodland Dr.
Mann Hall,40,MN,North,Raleigh,40.pdf,0.24,,,84615,1964,53,1,1,38585167,139595,99,2,6,55940,56049,999009,4,14,2501 Katharine Stinson Dr.
MARC I,862A,MA1,Outlying,Smyrna,862a.pdf,,,,,,,,,,,,,,,,,,,810 Straits Rd.
MARC II,862B,MA2,Outlying,Smyrna,862b.pdf,,,,,,,,,,,,,,,,,,,810 Straits Rd.
Marye Anne Fox Science Teaching Lab,,,,,,0,,,112969,,,,,,,,,,,,,,,
Materials Management Warehouse,161,MMW,West,Raleigh,161.pdf,,,,94750,1996,21,1,1,14467992,1391600,97,1,2,88511,88511,1391300,1,14,3240 Ligon St.
McKimmon Addition,129A,MKA,South,Raleigh,129a.pdf,0.13,,,15115,1983,34,1,1,4141907,138950,97,2,6,7590,7590,1197902,3,14,1101 Gorman St.
McKimmon Center,129,MCK,South,Raleigh,129.pdf,,,,100445,1976,41,1,1,24277906,304853,4,2,6,60774,61696,3067758,2,14,1101 Gorman St.
MEAS Field Lab,240,MEA,South,Raleigh,240.pdf,0.02,,,7200,1984,33,1,1,2618280,12754,86,1,3,6704,6704,115873,2,14,1321 Varsity Dr.
Memorial Bell Tower,,,,,,,,,,,,,,,,,,,,,,,,
Memorial Belltower,2,MBT,North,Raleigh,2.pdf,0.34,,,400,1937,80,1,1,8091611,,,1,1,0,0,200000,1,14,2101 Hillsborough St.
Metal Storage Bldg At Betsy Jeff Penn 4-H Camp,817C,BJ3,Outlying,Reidsville,,,,,10,1993,24,1,1,3568,,,2,1,0,9,223,1,14,804 Cedar Lane
Metal Storage Bldg(Sandhills),870N,N16,Outlying,Jackson Springs,,,,,1152,1971,46,1,1,118441,,,1,1,0,1037,15000,1,14,2148 Windblow Rd.
Metcalf Residence Hall,94,MET,Central,Raleigh,,,,,72911,1968,49,2,2,12861797,283740,98,2,6,3845,45292,1478000,13,14,2811 Thurman Dr.
Method Field House,175,MFH,Central,Raleigh,175.pdf,,,,1165,2012,5,1,1,378201,,,1,4,511,511,334726,1,14,3970 Jackson St.
Milking Parlor - CVM,315,VTO,West,Raleigh,315.pdf,,,,,,,,,,,,,,,,,,,4715 Terry Curtin Dr.
Miller Field Athletic Storage,119A,MFS,Central,Raleigh,119a.pdf,,,,424,1981,36,1,1,51287,,,1,1,0,96,36000,1,14,430 Morrill Dr.
Millstone 4H Camp Director Residence,863E,CDR,Outlying,Ellerbe,863e.pdf,,,,,,,,,,,,,,,,,,,1296 Mallard Drive
Modular Dinoflagellate Fac,163C,MD3,West,Raleigh,163c.pdf,-,,,709,1993,24,1,1,257828,,,1,6,0,640,118189,1,14,3227 Ligon St.
Modular Dinoflagellate Facility,,,,,,,,,,,,,,,,,,,,,,,,
Modular Office (Cunningham),856M,MOC,Outlying,Kinston,856m.pdf,,,,,,,,,,,,,,,,,,,200 Cunningham Rd.
Monteith Engineering Res.Ctr. (MRC),720A,MRC,Centennial,Raleigh,720a.pdf,0.09,,,136507,1997,20,1,1,61890633,257606,3,1,6,64748,64842,29298069,5,14,2410 Campus Shore Dr
Motor Pool Facility,,,,,,0.01,,,12770,,,,,,,,,,,,,,,
Natural Resource Storage Building,163G,SRB,West,Raleigh,163g.pdf,0.01,,,2048,2005,12,1,1,211077,,,1,6,0,1969,136400,1,14,3223 Ligon Street
Nature Shelter - Swannonoa 4-H Camp,801P,SWP,Outlying,Swannanoa,,,,,540,1936,81,1,1,55519,,,3,1,0,513,10298,1,14,170 Woodland Dr.
Nature Shelter Millstone 4-H Camp,864Q,MCQ,Outlying,Ellerbe,,,,,384,1952,65,1,5,39481,,,2,1,364,364,,1,14,1040 Woodland Dr.
NC State University Childcare Center At 691 Palmer Street,755E,DCF,Centennial,Raleigh,755e.pdf,,,,8087,2009,8,1,5,607949,,,1,6,4104,4104,,3,14,691 Palmer Dr.
NC State University Club (Non NCSU Building),130,UCB,West,Raleigh,130.pdf,,,,,,,,,,,,,,,,,,,4200 Hillsborough St.
Nelson Hall,78,N,North,Raleigh,78.pdf,0.12,,,148377,1938,79,1,1,53951114,2040810,99,2,5,79537,79537,979000,6,14,2801 Founders Dr.
North Residence Hall,21,NOR,North,Raleigh,21.pdf,,,,78155,1973,44,2,1,21209708,1101373,91,2,6,47199,47276,3000000,6,14,2200 Hillsborough St.
Nussbaum Center in Greensboro,999K,NBC,Outlying,Greensboro,999k.pdf,,,,,,,,,,,,,,,,,,,1451 South Elm Eugene St.
Ocracoke Hall - Avent Ferry Residence Hall E,271E,AFE,South,Raleigh,271e.pdf,,,,65586,1979,38,2,2,14279141,1958400,94,1,6,38692,38692,1345330,7,14,2112 Avent Ferry Rd.
Office (Lowcoastal),855B,Q98,Outlying,Kinston,,,,,1040,1965,52,1,1,167308,,,2,6,0,954,11675,1,14,200 Cunningham Rd.
Office Bldg(Sandhills),870Q,OBS,Outlying,Jackson Springs,,,,,1620,1985,32,1,1,352710,,,1,6,1245,1263,75600,1,14,2148 Windblow Rd.
Office(Upiedmont),861,Z55,Outlying,Reidsville,,,,,1620,1985,32,1,1,293927,,,1,6,1327,1327,70000,1,14,1944 Wentworth Rd.
Old Shop-Equipment Shed(Lowcoastal),855L,Q88,Outlying,Kinston,,,,,1980,1939,78,1,1,119747,,,3,1,0,1900,7000,1,14,200 Cunningham Rd.
Olympic Trailer Unit,157Z,OUT,Central,Raleigh,157z.pdf,,,,210,1997,20,1,1,67397,,,1,6,0,0,46350,1,14,1050 Varsity Dr.
One Park Drive,950,1PD,Outlying,RTP,950.pdf,,,,,,,,,,,,,,,,,,,1 Park Dr.
Open Pole Equipment Shed,661B,61B,Outlying,Raleigh,,,,,800,1980,37,1,1,48383,,,1,1,0,680,1750,1,14,SR 1775
Orchard Pumphouse UFL 200-Lake Wheeler,810D,X05,Lake Wheeler Site,Raleigh,,,,,62,1977,40,1,1,5250,,,1,1,0,0,400,1,14,3961 Dr. Bill Gilbert Way
Outhouse Millstone 4-H Camp,866D,MOD,Outlying,Ellerbe,,,,,20,1937,80,1,5,3218,,,2,1,0,19,,1,14,1040 Mallard Dr.
Oval West Parking Deck,774A,PC1,Centennial,Raleigh,774a.pdf,,,,196674,2011,6,1,1,9144364,,,1,1,0,0,7200000,4,14,914 Partners Way
Owen Residence Hall,92,OWN,Central,Raleigh,92.pdf,,,,69184,1947,70,2,1,13380366,1477946,2,2,6,21455,48162,571000,5,14,2720 Cates Ave.
Oyster Res Fac CVM,346,VTY,West,Raleigh,346.pdf,0.04,,,1554,,,,,,,,,,,,,,,1270 Horse Lane
Pack Shed Bldg(Sandhills),870F,F05,Outlying,Jackson Springs,,,,,6800,1955,62,1,1,411254,,,1,1,0,5898,2000,1,14,2148 Windblow Rd.
Packhse Equip Shed(Lowcoastal),855O,Q85,Outlying,Kinston,,,,,7235,1939,78,1,1,437562,,,3,1,0,6513,10000,1,14,200 Cunningham Rd.
Packhse Equip Stor(Lowcoastal),855M,Q87,Outlying,Kinston,,,,,5244,1939,78,1,1,539155,,,3,1,0,4720,10000,1,14,200 Cunningham Rd.
PAFL Visiting Scientist Quarters - Aurora,849L,VSQ,Outlying,Aurora,849l.pdf,,,,,,,,,,,,,,,,,,,2002 Hickory Point Rd.
Page Hall,34,PA,North,Raleigh,34.pdf,0.12,,,30994,1922,95,1,1,11270968,1200000,88,2,6,18054,18147,190000,3,14,21 Current Dr.
Park Shops,33,PS,North,Raleigh,33.pdf,,,,49978,1914,103,1,1,18174500,5501,9,1,3,26552,26552,143000,3,14,101 Current Dr.
Parking Deck - CBC Centennial Biomedical Campus - CVM,300E,PCB,West,Raleigh,300e.pdf,,,,,,,,,,,,,,,,,,,1061 William Moore Dr.
Parking Deck - Keystone Science Center,759B,KSP,Centennial,Raleigh,759b.pdf,,,,43647,2011,6,1,4,3603204,,,1,1,0,0,,2,14,1775 Varisty Dr.
Parking Deck-Monteith Eng.Res.Ctr.,720B,ERB,Centennial,Raleigh,720b.pdf,,,,129327,1997,20,1,1,9209487,,,1,1,3531,3531,6361904,6,14,2410 Campus Shore Dr.
PARKING GARAGE AT VA,948Q,,,,,,,,5183,2013,4,1,4,1884798,,,1,1,3043,3278,,1,14,
Partners Building I,775,PT1,Centennial,Raleigh,775.pdf,0.23,,,86874,1997,20,1,1,14731280,243379,6,2,6,64871,64995,8401135,3,14,1017 Main Campus Dr.
Partners Building II,710,PT2,Centennial,Raleigh,710.pdf,0.03,,,63760,1999,18,1,1,30848921,1942170,0,1,6,42220,42420,6173072,3,14,840 Main Campus Dr.
Partners Building III,713,PT3,Centennial,Raleigh,713.pdf,0,,,82988,2004,13,1,1,40151980,,,1,1,56821,57065,4311738,4,14,851 Main Campus Dr.
Partners Way Parking Deck,713A,P3P,Centennial,Raleigh,713a.pdf,,,,364273,2004,13,1,1,15913025,,,1,6,0,0,10972260,5,14,851 Partners Way
Patterson Hall,46,PT,North,Raleigh,46.pdf,0.32,,,49988,1905,112,1,1,18178136,321651,2,2,6,29399,29747,200000,4,14,2501 Founders Dr.
Peele Hall,8,PH,North,Raleigh,8.pdf,0.01,,,23010,1928,89,1,1,8367587,2885719,6,2,6,13801,13876,173000,3,14,10 Watauga Club Dr.
Pesticide Building #1 (Sandhills),870V,SP1,Outlying,Jackson Springs,870v.pdf,,,,,,,,,,,,,,,,,,,2148 Windblow Rd.
Pesticide Building #2 (Sandhills),870U,SP2,Outlying,Jackson Springs,870u.pdf,,,,,,,,,,,,,,,,,,,2148 Windblow Rd.
Pfiesteria Research Lab,163,SAR,West,Raleigh,163.pdf,0.31,,,8000,1976,41,1,1,2909200,286189,98,3,5,828,2817,120000,2,14,3235 Ligon St.
Phytotron,70,PHY,North,Raleigh,70.pdf,0.3,,,41282,1968,49,1,1,16227982,5100000,14,2,6,24488,24488,2475000,4,14,2731 Pillsbury Cir.
Picnic Shelter Site 1 (Anita Alta 4-H Outpost Camp),827J,AAJ,Outlying,Lenoir,,,,,192,1980,37,1,1,11611,,,3,1,0,182,3024,1,14,Anita Alta 4-H Outpost Camp
Picnic Shelter Site 2 (Anita Alta 4-H Outpost Camp),827K,AAK,Outlying,Lenoir,,,,,192,1980,37,1,1,11611,,,3,1,0,182,3024,1,14,Anita Alta 4-H Outpost Camp
Pig House CVM,342,PHV,West,Raleigh,342.pdf,0.11,,,1080,,,,,,,,,,,,,,,1220 Horse Lane
Plant Pathology Equip Shed,460,PPE,West,Raleigh,460.pdf,0.14,,,523,1986,31,1,1,37956,,,2,1,484,484,12217,1,14,4301 Beryl Rd.
Plaza Hall-Wolf Ridge-Building 2,780B,WR2,Centennial,Raleigh,780b.pdf,,,,95535,2013,4,2,1,20780001,,,1,6,62064,62118,20000000,6,14,1940 Entrepreneur Dr.
PNC Arena,386,PNC,West,Raleigh,386.pdf,,,,9103,2001,16,1,4,2922291,,,1,6,5462,5462,,1,14,1400 Edwards Mill Rd.
Poe Hall,24,POE,North,Raleigh,24.pdf,0.28,,,153835,1970,47,1,1,52949874,,,3,6,86546,86965,4019000,8,14,2310 Katharine Stinson Dr.
Polk Hall,50,PK,North,Raleigh,50.pdf,0.12,,,126915,1926,91,1,1,59962832,117849,7,2,5,73707,74997,1320000,5,14,120 Broughton Dr.
Potting House UFL 436,436,PHB,West,Raleigh,436.pdf,0.03,,,1500,1980,37,1,1,167380,,,1,1,0,1460,12672,1,14,4301 Beryl Rd.
Potting House UFL 459,459,PS1,West,Raleigh,459.pdf,0.01,,,580,1988,29,1,1,48770,,,1,1,527,527,2000,1,14,4301 Beryl Rd.
Poulton Deck,781B,PDK,Centennial,Raleigh,781b.pdf,,,,60047,1991,26,1,1,4538073,,,1,1,0,0,1212120,2,14,1021 Main Campus Dr.
Poulton Innovation Center,781A,PIC,Centennial,Raleigh,781a.pdf,,,,79366,1991,26,1,1,28861446,4700000,14,2,6,49700,53453,6079426,5,14,1021 Main Campus Dr.
Poultry Bldg UFL 636,636,PB2,South,Raleigh,636.pdf,0.03,,,2295,1956,61,1,1,235957,,,3,1,0,2125,3000,1,14,1344 Varsity Dr.
Poultry Bldg UFL 637,637,PB3,South,Raleigh,637.pdf,0.09,,,10572,1950,67,1,1,1086946,,,3,1,0,10393,4200,1,14,1350 Varsity Dr.
Poultry House CVM,343,VT1,West,Raleigh,343.pdf,0.19,,,980,,,,,,,,,,,,,,,1230 Horse Lane
Poultry House UFL 632,632,PH1,South,Raleigh,632.pdf,0.15,,,2560,1950,67,1,1,263203,,,3,1,0,2525,4800,2,14,1328 Varsity Dr.
Poultry House UFL 633,633,PH2,South,Raleigh,633.pdf,0.03,,,2560,1950,67,1,1,263203,,,3,1,0,2524,4800,2,14,1332 Varsity Dr.
Power Plant - CVM,302,VTB,West,Raleigh,302.pdf,,,,,,,,,,,,,,,,,,,4881 Terry Curtin Dr.
Prague Institute,999F,CZ1,Outlying,Prague,999f.pdf,,,,6754,1800,217,1,4,2105222,,,1,2,0,3758,,2,14,110 00 Michalska 3
Press Box-Dail Soccer Field at Derr Track,115H,PDS,Central,Raleigh,115h.pdf,,,,249,2011,6,1,1,66835,,,1,6,178,178,52624,1,14,2505 Cates Ave.
Price Music Center,104,PMC,Central,Raleigh,104.pdf,0.34,,,24096,1972,45,1,2,8306565,,,3,6,9690,14196,784000,2,14,2620 Cates Ave.
Primrose Hall,6,PRI,North,Raleigh,6.pdf,0.3,,,3735,1896,121,1,1,1358233,14150,86,3,6,2278,2278,25000,2,14,2 Watauga Club Dr.
Public Safety Center,238,PSC,Central,Raleigh,238.pdf,-,,,18274,2004,13,1,1,5518672,,,1,6,13234,13234,2600000,1,14,2610 Wolf Village Way
Pul and Paper Labs,,,,,,0.07,,,34494,,,,,,,,,,,,,,,
Pullen Hall,090A,PUL,Central,Raleigh,90a.pdf,0.31,,,16062,,,,,,,,,,,,,,,201 Dan Allen Dr.
PULLEN HALL,90A,,,,,,,,16062,1987,30,1,1,5840946,,,3,6,10329,10329,1241000,2,14,
Pulp & Paper Labs,113B,PPL,Central,Raleigh,113b.pdf,,,,38494,1991,26,1,1,15132410,,,1,6,19557,19557,5777000,4,14,431 Dan Allen Dr.
Pump House - Fletcher,850G,Z08,Outlying,Fletcher,,,,,42,1964,53,1,1,3555,,,1,6,0,0,1000,1,14,2000 Fanning Bridge Rd.
PUMP HOUSE - LAKE WH,809S,,,,,,,,159,1997,20,1,1,13462,,,2,1,0,142,10000,1,14,
Pump House - Lake Wheeler,890S,PH5,Lake Wheeler Site,Raleigh,890s.pdf,,,,,,,,,,,,,,,,,,,3990 Chi Rd.
Pump House (Anita Alta 4-H Outpost Camp),827S,AAS,Outlying,Lenoir,,,,,104,1980,37,1,1,8807,,,3,1,0,0,1823,1,14,Anita Alta 4-H Outpost Camp
Pump House at Lonnie Poole Gold Course,787D,PHL,Centennial,Raleigh,787d.pdf,,,,504,2008,9,1,1,241915,,,1,1,0,459,190000,1,14,1401 Main Campus Dr.
Pump House Cent Campus,761,PCC,Centennial,Raleigh,761.pdf,,,,534,1992,25,1,1,45213,,,1,1,0,481,12000,1,14,1800 Main Campus Dr.
Pumphouse - Reidsville,860T,Z48,Outlying,Reidsville,,,,,72,1930,87,1,1,6097,,,4,1,0,0,200,1,14,1944 Wentworth Rd.
Pumphouse (Stucco) - Fletcher,850N,Z14,Outlying,Fletcher,,,,,60,1984,33,2,1,5081,,,1,6,0,0,1500,1,14,2000 Fanning Bridge Rd.
Pumphouse 10A feeds water to bldg 870A (Sandhills),871E,SPH,Outlying,Jackson Springs,871e.pdf,,,,,,,,,,,,,,,,,,,2148 Windblow Rd.
Pumphouse 1B wellhouse between office and dwelling (Sandhills),870Y,SPW,Outlying,Jackson Springs,870y.pdf,,,,,,,,,,,,,,,,,,,2148 Windblow Rd.
Pumphouse 4A (well only) wooden (Sandhills),870Z,SP4,Outlying,Jackson Springs,870z.pdf,,,,,,,,,,,,,,,,,,,2148 Windblow Rd.
Pumphouse 7 pump and tank only and electrical (Sandhills),850K,Z11,Outlying,Fletcher,,,,,48,1985,32,1,1,14108,,,1,1,0,0,10000,1,14,2000 Fanning Bridge Rd.
Pumphouse 7 pump and tank only and electrical (Sandhills),870X,SP7,Outlying,Jackson Springs,870x.pdf,,,,,,,,,,,,,,,,,,,2148 Windblow Rd.
Pumphouse UFL 1019 - Bahama,845R,Q17,Outlying,Bahama,,,,,96,1985,32,1,1,8127,,,1,1,0,0,1008,1,14,8800 Cassam Rd.
Pumphouse UFL 1031 - Bahama,845X,Q23,Outlying,Bahama,,,,,96,1985,32,1,1,6982,,,1,1,0,0,1008,1,14,8800 Cassam Rd.
Pumphouse UFL 1050 - Bahama,846L,Q37,Outlying,Bahama,,,,,64,1993,24,1,1,5418,,,1,1,0,0,1000,1,14,8800 Cassam Rd.
PUMPHOUSE UFL 1051-,846M,,,,,,,,64,1993,24,1,1,5418,,,1,1,0,0,1000,1,14,
Pumphouse UFL 1051 - Bahama,856M,Q38,Outlying,Bahama,,,,,,,,,,,,,,,,,,,,8800 Cassam Rd.
Pumphouse UFL 1081 - Bahama,846U,Q45,Outlying,Bahama,,,,,96,1985,32,1,1,8127,,,1,1,0,0,1200,1,14,8800 Cassam Rd.
Pumphouse UFL Fb 823-Lake Wheeler,830A,ZZ1,Lake Wheeler Site,Raleigh,,,,,120,1946,71,1,1,10160,,,2,1,0,0,354,1,14,1015 Mid Pines Rd.
Pumphouse(Sandhills),870G,SHP,Outlying,Jackson Springs,,,,,131,1969,48,1,1,11091,,,1,1,0,0,1800,1,14,2148 Windblow Rd.
Pumphouse(Sandhills),870J,Z69,Outlying,Jackson Springs,,,,,96,1974,43,1,1,13353,,,1,1,0,0,1500,1,14,2148 Windblow Rd.
Pumphouse(Sandhills),870K,K02,Outlying,Jackson Springs,,,,,75,1951,66,1,1,13063,,,1,1,0,0,100,1,14,2148 Windblow Rd.
Pumphouse(Sandhills),870L,L09,Outlying,Jackson Springs,,,,,92,1953,64,1,1,7789,,,1,1,0,0,300,1,14,2148 Windblow Rd.
Pumphouse(Sandhills),870M,M14,Outlying,Jackson Springs,,,,,41,1953,64,1,1,3471,,,1,1,0,0,100,1,14,2148 Windblow Rd.
Pumphouse(Sandhills),870P,P23,Outlying,Jackson Springs,,,,,288,1994,23,1,1,24384,,,2,1,0,0,1600,1,14,1003 Windblow Rd.
Pylon 10,992A,PLX,West,Raleigh,992a.pdf,,,,15499,1990,27,1,4,5636211,,,1,6,10377,10430,,1,14,620 Hutton St.
